Date,Open,High,Low,Close,Adj Close,Volume
2011-07-28,27.6,28.549999,27.540001,28.17,28.17,938700
2012-01-03,28.940001,29.5,27.65,28.08,28.08,928100
2013-04-08,41.970001,42.549999,41.509998,41.830002,41.830002,1679000
2015-01-02,222.869995,223.25,213.259995,219.309998,219.309998,4764400
2014-11-28,245.350006,246.690002,242.520004,244.520004,244.520004,2119700
2017-07-25,345,345.600006,334.149994,339.600006,339.600006,6989200
2018-11-26,325,346.220001,325,346,346,7992100
2010-07-06,20,20,15.83,16.110001,16.110001,6866900
2017-11-06,307,307.5,299.01001,302.779999,302.779999,6486000
2013-06-26,103.800003,105.870003,102.660004,105.720001,105.720001,6602600
2013-05-06,56.389999,59.66,55.5,59.5,59.5,4366700
2012-06-12,29.23,29.84,28.809999,29.66,29.66,569000
2011-02-01,24.309999,24.73,23.540001,23.91,23.91,707800
2016-12-01,188.25,188.529999,181,181.880005,181.880005,5126400
2015-05-05,237.759995,239.5,229.130005,232.949997,232.949997,5796900
2012-02-08,31.6,32.009998,31.290001,31.93,31.93,623700
2015-12-21,231.690002,235.830002,231.080002,232.559998,232.559998,1953200
2010-11-11,28.6,29.1,27.33,28.040001,28.040001,1945300
2012-09-14,30,30.65,29.65,30.389999,30.389999,1536600
2015-07-24,267.380005,271.089996,263.920013,265.410004,265.410004,2836500
2013-04-24,50.900002,51.049999,48.98,50.43,50.43,2630000
2017-02-14,279.029999,287.390015,278.609985,280.980011,280.980011,7345200
2019-12-16,362.549988,383.609985,362.5,381.5,381.5,18174200
2014-10-08,260.100006,262.880005,252.639999,259.279999,259.279999,5055100
2015-04-01,188.699997,192.300003,186.050003,187.589996,187.589996,3794600
2016-07-27,229.339996,233.360001,226.919998,228.490005,228.490005,2889000
2010-10-01,20.690001,20.75,20.309999,20.6,20.6,597700
2013-09-20,178.899994,185.830002,178.559998,183.389999,183.389999,13401700
2017-03-20,260.600006,264.549988,258.820007,261.920013,261.920013,3614300
2015-10-06,240,243.029999,235.580002,241.460007,241.460007,5225200
2018-08-28,318.410004,318.880005,311.190002,311.859985,311.859985,7649100
2015-07-21,270.049988,273.5,266.549988,266.769989,266.769989,6108700
2018-04-16,299,299.660004,289.01001,291.209991,291.209991,6338500
2018-01-16,337.540009,345,334.799988,340.059998,340.059998,6474300
2017-10-19,355.559998,357.149994,348.200012,351.809998,351.809998,5061800
2013-01-28,36.860001,38.709999,36.860001,38.029999,38.029999,1986000
2017-04-17,302.700012,304,298.679993,301.440002,301.440002,4138700
2013-11-22,121.580002,122.75,117.93,121.379997,121.379997,11096700
2010-07-30,20.200001,20.440001,19.549999,19.940001,19.940001,426900
2017-03-29,278.339996,279.600006,275.540009,277.380005,277.380005,3676200
2011-05-06,26.9,27.700001,26.620001,27.120001,27.120001,981700
2012-08-30,28.6,28.74,28.1,28.41,28.41,656400
2012-10-23,27.379999,28.559999,27.370001,28.389999,28.389999,749000
2014-10-10,244.639999,245.889999,235.199997,236.910004,236.910004,12888300
2018-07-17,308.809998,324.73999,308.5,322.690002,322.690002,6996200
2018-01-11,335.23999,344.809998,333.26001,337.950012,337.950012,6645500
2016-12-15,198.410004,200.740005,197.389999,197.580002,197.580002,3219600
2015-10-21,211.990005,214.809998,208.800003,210.089996,210.089996,4151500
2011-07-29,27.799999,28.4,27.5,28.17,28.17,948200
2011-11-16,33.48,35,33.400002,34.939999,34.939999,1833200
2015-07-14,262.100006,265.98999,260.51001,265.649994,265.649994,1907600
2019-07-24,259.170013,266.070007,258.160004,264.880005,264.880005,11072800
2017-08-09,361,370,358.950012,363.529999,363.529999,6892100
2017-10-20,352.690002,354.549988,344.339996,345.100006,345.100006,4930400
2010-07-28,20.549999,20.9,20.51,20.719999,20.719999,467200
2010-12-16,30,30.91,29.65,30.809999,30.809999,790100
2017-02-08,257.350006,263.359985,256.200012,262.079987,262.079987,3933000
2016-12-05,182.509995,188.889999,182.509995,186.800003,186.800003,4072200
2015-06-09,255.399994,257.73999,254.139999,256,256,2611100
2017-11-27,313.25,317.339996,309.51001,316.809998,316.809998,4555900
2015-01-30,203.960007,207.470001,203,203.600006,203.600006,3007000
2018-10-10,264.609985,265.51001,247.770004,256.880005,256.880005,12815300
2011-09-19,24.950001,25.809999,23.82,25.77,25.77,1157400
2012-09-21,31.1,31.49,29.540001,30.02,30.02,1870000
2017-09-12,364.48999,368.76001,360.399994,362.75,362.75,5972900
2011-11-18,33.639999,34.110001,32.540001,32.599998,32.599998,902800
2015-09-17,263.959991,265.5,260.690002,262.070007,262.070007,3585800
2010-10-29,21.139999,21.85,21.049999,21.84,21.84,280600
2015-03-13,188.949997,191.75,187.320007,188.679993,188.679993,5434300
2014-11-19,250.610001,251.880005,245.600006,247.740005,247.740005,7918500
2018-02-07,338.98999,346,335.660004,345,345,6969200
2015-09-21,263.980011,271.570007,255.800003,264.200012,264.200012,6120200
2010-11-16,31,31.4,28.42,29.67,29.67,1347600
2016-11-22,185.839996,191.470001,183.710007,191.169998,191.169998,5603400
2018-04-23,291.290009,291.619995,282.329987,283.369995,283.369995,4893400
2017-11-28,316.359985,320,313.920013,317.549988,317.549988,4949500
2011-09-06,22.5,23.200001,22.290001,22.940001,22.940001,809800
2017-04-11,313.380005,313.470001,305.5,308.709991,308.709991,5724600
2020-01-22,571.890015,594.5,559.099976,569.559998,569.559998,31369000
2011-12-07,34.630001,34.889999,33.799999,34.189999,34.189999,674300
2017-01-18,236.649994,239.710007,235.580002,238.360001,238.360001,3769000
2016-12-06,185.520004,186.580002,182.679993,185.850006,185.850006,3391600
2017-08-04,347,357.269989,343.299988,356.910004,356.910004,9268900
2020-01-16,493.75,514.460022,492.170013,513.48999,513.48999,21736700
